"Code","DUPONT_AIGNAN","POUTOU","PECRESSE","JADOT","HIDALGO","LE_PEN","MACRON","MELENCHON","ROUSSEL","ZEMMOUR"
"01",2.7,0.65,5.28,4.76,1.69,26.05,27.69,17.37,1.78,8.27
"02",2.18,0.8,4.11,2.66,1.12,39.25,22.09,15.49,2.24,6.87
"03",2.27,0.81,5.55,3.22,1.76,27.06,26.73,16.68,4.37,6.65
"04",2.59,0.89,3.97,4.09,1.44,26.9,21.51,22.61,2.81,8.2
"05",2.48,0.93,5.23,5.81,1.69,22.84,23.78,22.87,2.23,7.15
"06",2.38,0.53,5.59,4.18,0.97,26.65,25,16.53,1.59,14
"07",2.5,0.92,4.85,4.34,2.13,25.18,23.02,21.75,2.9,7.21
"08",2.21,0.83,4.15,2.57,1.3,36.02,23.64,16.64,2.25,6.55
"09",1.77,0.79,2.97,3.29,3.5,23.94,19.71,26.07,2.95,6.35
"10",2.65,0.71,5.96,3.09,1.15,32.95,25.6,15.02,2.07,7.6
"11",1.98,0.82,3.46,2.98,2.9,30.14,20.29,19.79,2.65,8.68
"12",2.03,0.79,5.84,3.95,2.62,20.1,27.75,19.15,2.64,5.92
"13",1.99,0.59,3.59,4.17,1.17,26.25,22.71,23.59,2.41,10.77
"14",2.05,0.97,4.76,5.08,1.77,23.76,31.16,19.15,2.27,5.76
"15",1.76,0.74,7.93,3.12,2.05,24.48,28.42,14.69,2.83,5.57
"16",2.26,0.92,4.33,3.92,2.08,26.18,27.57,19.36,2.79,5.51
"17",2.36,0.86,4.9,4.82,1.74,25.32,28.87,18.18,2.54,6.18
"18",2.35,0.91,5.07,3.13,1.61,27.89,27.1,17.38,3.58,6.74
"19",1.84,0.83,8.61,3.53,2.53,22.2,23.23,19.45,4.41,5.62
"2A",1.76,0.88,5.48,3.29,0.91,29.25,18.78,13.55,2.69,13.36
"2B",1.75,0.97,7.08,3.21,1.22,28.02,17.54,13.21,3.42,12.3
"21",2.29,0.81,5.07,4.76,1.81,24.44,28.55,19.05,2.02,7.66
"22",1.75,1.06,4.7,5.28,2.26,21.79,31.02,20.26,3.17,4.73
"23",2.33,0.99,6.57,2.85,2.45,25.09,23.25,20.46,3.64,5.24
"24",2.2,0.9,4.58,3.47,2.17,25.68,23.74,20.3,3.59,6.41
"25",2.81,0.85,5.45,4.73,1.77,24.07,27.55,20.06,1.8,7.03
"26",2.66,0.72,4.53,4.88,1.82,24.22,24.78,22.39,2.32,7.55
"27",2.37,0.85,4.25,3.6,1.26,32.29,26.05,17.43,2.21,6.56
"28",2.6,0.8,5.91,3.59,1.4,28.16,27.21,18.42,1.94,6.73
"29",1.58,1.15,4.89,6.12,2.41,18.58,32.21,21.47,2.83,4.72
"30",1.97,0.65,3.73,3.62,1.59,29.34,21.32,21.46,2.93,9.29
"31",1.7,0.67,3.71,5.83,2.69,18.23,26.91,25.84,2.23,6.92
"32",2.08,0.68,4.4,3.51,3.32,22.35,24.89,18.34,2.69,7.21
"33",1.76,0.98,4.21,5.23,2.2,21.47,28.72,21.84,2.41,6.54
"34",1.8,0.69,3.64,4.39,1.9,25.95,22.28,24.24,2.22,9.04
"35",1.77,0.9,4.39,7.14,2.34,17.06,34.5,22.2,2.13,4.6
"36",2.39,0.95,5.45,3.08,2.04,28.53,26.03,17.32,3.06,6.15
"37",2.22,0.88,4.97,4.96,1.9,21.54,30.99,20.77,2.39,6.09
"38",2.13,0.72,4.25,6.01,1.89,23.03,26.85,22.83,2.19,7.06
"39",2.85,0.92,5.11,4.4,1.81,26.29,24.88,19.89,2.18,6.65
"40",1.9,0.77,4.03,3.34,3.52,22.73,26.92,17.26,3.17,6.52
"41",2.45,0.84,5.3,3.93,1.75,27.77,27.92,16.8,2.49,7.03
"42",2.34,0.72,4.8,4.32,1.81,25.33,26.95,20.25,2.34,7.44
"43",2.41,0.86,6.85,4.15,1.78,27.66,23.21,17.42,2.5,6.82
"44",1.84,0.91,4.68,7.49,2.29,16.91,31.98,23.43,2.28,5.33
"45",2.29,0.73,5.39,4.29,1.69,25.59,28.92,18.93,2.24,6.82
"46",2.19,0.89,5.16,4.21,2.53,19.58,24.97,23.71,3.25,5.6
"47",2.12,0.78,4.18,3.09,1.82,27.32,23.12,18.49,2.7,8.5
"48",1.94,0.91,6.47,3.69,2.22,22.34,22.85,19.48,2.86,6.7
"49",2.13,0.83,4.88,6.04,1.99,20.26,35.59,18.27,1.89,4.92
"50",2.42,0.96,5.18,4.17,2.06,24.53,32.57,16.5,2.59,4.92
"51",2.25,0.69,5.24,3.49,1.29,30.56,28.63,15.64,1.94,7.11
"52",2.75,0.8,5.16,2.75,1.39,36.6,23.33,14.1,1.95,6.88
"53",2.31,0.82,5.53,4.75,2.08,22.39,36.4,15.34,1.98,4.82
"54",2.06,0.91,3.78,4.12,1.8,27.49,26.92,20.89,2.25,6.65
"55",2.46,0.9,4.47,3.18,1.51,35.11,24.91,13.76,1.99,7.46
"56",2.05,0.94,4.89,5.78,1.77,22.01,32.68,18.02,2.47,5.69
"57",2.41,0.83,3.68,3.61,1.44,30.37,26.01,19.1,1.67,7.51
"58",2.22,0.9,4.6,3.16,1.92,29.2,25.51,17.72,3.81,6.56
"59",1.62,0.65,3.33,3.68,1.43,29.27,26.37,21.95,3.6,5.74
"60",2.28,0.74,4.24,3.35,1.03,32.27,24.3,19.3,2.2,7.37
"61",2.53,0.88,5.85,3.65,1.57,27.69,30.48,15.23,2.16,5.9
"62",1.77,0.69,3.2,2.44,1.47,38.68,24.61,15.78,3.31,5.16
"63",1.94,0.89,4.85,4.76,2.3,21.86,28,20.84,3.56,5.77
"64",1.67,1.24,4.28,4.97,2.31,17.38,27.8,18.94,2.53,6.45
"65",1.79,0.74,3.38,3.61,2.46,22.19,24.98,19.61,3.37,6.46
"66",1.94,0.74,3.28,3.2,1.87,32.74,20.54,19.2,2.42,9.23
"67",2.95,0.72,4.3,4.95,1.45,25.3,30.7,18.22,1.22,7.02
"68",3.57,0.74,4.15,4.92,1.27,27.77,27.85,17.2,1.21,7.86
"69",1.81,0.58,5.53,5.71,1.75,16.55,30.61,25.2,1.75,8.16
"70",2.7,0.96,5.01,3.19,1.74,34.6,22.42,15.65,2.1,7.18
"71",2.59,0.79,5.08,3.59,2.02,27.39,27.61,17.49,2.48,6.91
"72",2.19,0.84,5.36,4.56,1.82,27.68,28.24,18.26,2.33,5.46
"73",2.72,0.75,5.52,6.35,1.79,23.03,26.26,20.24,2.25,7.32
"74",3.32,0.76,5.23,7.01,1.55,20.54,30.53,18.28,1.4,7.81
"75",0.91,0.54,6.59,7.61,2.17,5.54,35.34,30.08,1.64,8.16
"76",1.92,0.85,3.78,3.85,1.73,27.65,27.95,21.17,3.09,5.19
"77",2.28,0.7,5.57,4.04,1.19,23.56,25,25.87,1.94,7.25
"78",1.78,0.54,8.32,5.49,1.23,13.77,33.41,22.89,1.59,8.74
"79",2.18,1.03,4.45,4.85,2.09,23.05,32.94,18.83,2.18,4.24
"80",1.88,0.74,3.81,2.69,1.25,32.79,27.8,17.51,2.58,5.65
"81",2.23,0.8,4.36,3.78,2.53,24.6,23.46,21.07,2.31,6.95
"82",2.34,0.72,4.11,3.32,2.1,28.93,21.76,19.12,2.49,8.07
"83",2.55,0.6,4.73,3.51,0.95,30.61,23.77,14.91,1.78,13.25
"84",2.27,0.67,3.92,3.99,1.24,29.43,22.01,20.75,2.06,10.03
"85",2.3,0.86,5.37,4.71,1.73,23.18,35.64,14.42,1.94,6.11
"86",2.2,1,4.3,4.63,1.96,23.4,29.28,21.22,2.77,5.15
"87",1.76,0.88,4.72,3.9,2.8,22.44,27.19,21.34,3.97,5.34
"88",3.02,0.97,4.59,3.71,1.53,32.23,25.25,16.03,1.89,6.47
"89",2.6,0.84,5.28,3.35,1.3,31.25,24.14,17.9,2.28,7.33
"90",2.61,0.87,4.77,4.02,1.51,27.37,24.07,20.96,2.13,8.02
"91",2.56,0.72,5.55,4.97,1.34,17.79,27.65,28.12,2.27,6.6
"92",1.26,0.48,8.03,6.08,1.36,8.37,37.11,25.77,1.7,8.1
"93",1.16,0.67,3.22,3.56,1.08,11.88,20.27,49.09,2.14,5.15
"94",1.59,0.63,5.52,5.42,1.4,11.82,29.1,32.67,2.54,7.37
"95",1.7,0.63,4.99,3.91,1.15,17.2,26.09,33.17,1.9,7.09
"ZA",1.56,0.53,2.95,1.43,1.68,17.92,13.43,56.16,0.49,2.29
"ZB",2.43,0.79,3.85,1.61,3.2,13.42,16.3,53.1,0.61,2.56
"ZC",2,1.29,2.78,2.62,1.49,17.66,14.22,50.59,0.69,4.39
"ZD",2.4,0.78,2.81,2.31,1.6,24.73,18.04,40.26,0.89,3.77
"ZM",1.51,0.94,8.02,0.84,0.91,42.68,16.94,23.96,0.59,1.38
"ZN",3.83,0.79,5.88,3.07,1.37,18.83,40.51,13.77,0.57,9.13
"ZP",3.28,0.75,7.87,3.58,1.44,19.5,40.16,13.31,0.61,7.13
"ZS",3.04,1.85,1.89,4.29,2.78,16.99,19.77,40.91,0.7,2.96
"ZW",4.55,0.9,25.27,1.34,2.2,10.8,39.47,9.35,0.63,2.2
"ZX",4.05,0.75,4.23,2.95,1.1,17.27,24.74,28.13,0.57,13.23
"ZZ",1.42,0.63,4.2,8.17,2.5,5.29,45.09,21.92,0.65,8.67
