Departement;Nb_jrs_enseillement
Ain;182
Aisne;142
Allier;161
Alpes de Haute Provence;241
Hautes-Alpes;232
Alpes-Maritimes;253
Ardèche;182
Ardennes;132
Ariège;178
Aube;156
Aude;196
Aveyron;192
Bouches-du-Rhône;235
Calvados;142
Cantal;185
Charente;177
Charente-Maritime;137
Cher;169
Corrèze;177
Côte-d’Or;168
Côtes d'Armor;137
Dordogne;175
Doubs;164
Drôme;220
Eure;134
Eure-et-Loire;149
Finistère;138
Gard;238
Haute-Garonne;146
Gers;111
Gironde;173
Hérault;230
Ille-et-Vilaine;144
Indre;163
Indre-et-Loire;165
Isère;183
Jura;166
Landes;177
Loir-et-Cher;163
Loire;153
Haute-Loire;164
Loire-Atlantique;170
Loiret;155
Lot;176
Lot-et-Garonne;172
Lozère;192
Maine-et-Loire;159
Manche;140
Marne;149
Haute-Marne;149
Mayenne;152
Meurthe-et-Moselle;152
Meuse;144
Morbihan;155
Moselle;151
Nièvre;163
Nord;125
Oise;141
Orne;144
Pas-de-Calais;130
Puy-de-Dôme;167
Pyrénées-Atlantiques;174
Hautes-Pyrénées;176
Pyrénées-Orientales;210
Bas-Rhin;150
Haut-Rhin;171
Rhône;183
Haute-Saône;163
Saône-et-Loire;175
Sarthe;148
Savoie;170
Haute-Savoie;172
Paris;136
Seine-Maritime;128
Seine-et-Marne;146
Yvelines;140
Deux-Sèvres;172
Somme;139
Tarn;182
Tarn-et-Garonne;177
Var;245
Vaucluse;241
Vendée;146
Vienne;173
Haute-Vienne;163
Vosges;154
Yonne;158
Territoire-de-Belfort;168
Essonne;148
Hauts-de-Seine;107
Seine-Saint-Denis;126
Val-de-Marne;126
Val-d'Oise;131
